0	[0/3]	898576382384418817
1	[3/0]	847331851425300481
0	[0/3]	899587505493692417
0	[0/3]	898920493763280897
0	[0/3]	896808964326694912
1	[3/0]	897833007930724354
1	[2/1]	896808093949976576
1	[2/1]	898919574413783041
1	[3/0]	899584228056281088
0	[0/3]	898919452036653056
0	[0/3]	898613029238996992
0	[0/3]	899583996383776769
0	[0/3]	898919256288501762
0	[0/3]	898918988884746240
1	[3/0]	898609140028776452
1	[3/0]	898573084981985280
0	[0/3]	899360681547382784
0	[0/3]	898565910784376832
1	[3/0]	898003771048865794
1	[3/0]	901143852626489344
1	[2/1]	899585021111136257
1	[3/0]	891657958173458433
1	[3/0]	896806220169752576
1	[2/1]	898924217927843840
0	[0/3]	898946762999607296
0	[0/3]	898567012569333760
0	[0/3]	897864013370892288
1	[3/0]	898566441200373760
1	[3/0]	898695878071828480
0	[0/3]	898562628112465921
0	[0/3]	898561441980006400
0	[0/3]	899769487767068672
0	[0/3]	899372620746903553
1	[2/1]	898644864023134208
0	[0/3]	896385556057337856
0	[0/3]	900143358814765056
0	[0/3]	899726490169819136
0	[0/3]	896412253351628800
1	[3/0]	899572521388736512
1	[3/0]	898929026705707008
1	[3/0]	898748296415531008
1	[2/1]	930446853212008448
1	[3/0]	898774807386275840
1	[3/0]	896619572903596032
0	[1/2]	896381479520944129
1	[2/1]	899265604502274049
1	[3/0]	898628317317746688
1	[3/0]	897079847758946304
0	[1/2]	901118836409221120
1	[2/1]	898921683242729473
1	[3/0]	899546675483627520
0	[0/3]	899553920560775170
1	[3/0]	896621743279816706
1	[3/0]	898752124183379968
1	[2/1]	901097416786493440
0	[0/3]	898264614424596481
0	[0/3]	898331478785839104
0	[0/3]	898331514651394051
0	[0/3]	898330655418757121
0	[0/3]	898327631581462528
0	[0/3]	898327299468124161
1	[3/0]	899454209103339520
1	[3/0]	899447887783837696
1	[3/0]	899441728876302336
0	[0/3]	899446485850271745
0	[0/3]	898221045206794240
0	[1/2]	899442379664408576
1	[3/0]	877496888202633220
1	[3/0]	898729155243659264
1	[2/1]	899560787051651072
1	[3/0]	898268259719327745
0	[0/3]	898224687129313280
0	[0/3]	898590025767567361
0	[0/3]	898315343675834368
1	[3/0]	896064110357430276
0	[0/3]	899450937189711872
0	[0/3]	899258798635745280
1	[3/0]	899257403509661696
0	[0/3]	898543621082824705
0	[1/2]	899247739153793025
0	[0/3]	899262065440718852
0	[0/3]	898750686669586432
0	[0/3]	896806568653594624
1	[3/0]	898735906793730049
0	[0/3]	898741338908246017
0	[0/3]	898226312971640832
0	[0/3]	896796457981714432
1	[3/0]	896878920313602048
0	[0/3]	898218452371906560
0	[0/3]	898194911891083264
1	[3/0]	896181098463469569
1	[3/0]	896033403115524096
1	[3/0]	848208281436798976
1	[2/1]	899310458707918848
0	[0/3]	896851883842719744
1	[3/0]	898635958882508800
1	[3/0]	899382246322221056
1	[3/0]	898204946176159744
0	[0/3]	897873506074902528
0	[0/3]	898102653074391040
0	[0/3]	897824923917234177
0	[0/3]	898473685698228224
0	[0/3]	899585232155795456
1	[2/1]	897833964332646400
0	[0/3]	899499141532835840
0	[0/3]	898221362950492160
0	[0/3]	899532448068915200
1	[3/0]	897896605935849472
0	[0/3]	899612718742650880
0	[1/2]	898156903276072960
0	[0/3]	899474398083780609
1	[2/1]	898481585506222080
1	[3/0]	899608396000669697
1	[2/1]	898028266451238912
0	[1/2]	899332166382788608
0	[1/2]	892759254045605888
0	[1/2]	898217675804901376
1	[3/0]	897851367418503168
